region,category_le,mode_le,powertrain_oe,param_EV sales,param_EV sales share,param_EV stock,param_EV stock share,unit_Vehicles,unit_percent,value_scaled,year_scaled
Australia,0,1,3.0,0,0,0,1,0,1,-0.09247786799980515,-1.793541550286219
Australia,0,1,0.0,0,1,0,0,0,1,-0.09247785791937073,-1.793541550286219
Australia,0,1,0.0,1,0,0,0,1,0,-0.09239702719056982,-1.793541550286219
Australia,0,1,0.0,0,0,1,0,1,0,-0.09239702719056982,-1.793541550286219
Australia,0,1,0.0,0,0,1,0,1,0,-0.09211490701901655,-1.5240589163552876
Australia,0,1,0.0,1,0,0,0,1,0,-0.09219739829724849,-1.5240589163552876
Australia,0,1,3.0,0,1,0,0,0,1,-0.09247645804234789,-1.5240589163552876
Australia,0,1,3.0,0,0,0,1,0,1,-0.09247786468365558,-1.5240589163552876
Australia,0,1,0.0,0,0,1,0,1,0,-0.092345882598066,-1.5240589163552876
Australia,0,1,1.0,1,0,0,0,1,0,-0.092345882598066,-1.5240589163552876
Australia,0,1,1.0,1,0,0,0,1,0,-0.09176844365044234,-1.254576282424356
Australia,0,1,1.0,0,0,1,0,1,0,-0.0921809000416021,-1.254576282424356
Australia,0,1,3.0,0,0,0,1,0,1,-0.09247786105403936,-1.254576282424356
Australia,0,1,3.0,0,1,0,0,0,1,-0.09247781254916487,-1.254576282424356
Australia,0,1,0.0,1,0,0,0,1,0,-0.09216440178595571,-1.254576282424356
Australia,0,1,0.0,0,0,1,0,1,0,-0.09180144016173514,-1.254576282424356
Australia,0,1,0.0,0,0,1,0,1,0,-0.0911910047028187,-0.9850936484934245
Australia,0,1,0.0,1,0,0,0,1,0,-0.0918674331843207,-0.9850936484934245
Australia,0,1,3.0,0,1,0,0,0,1,-0.09247760467115268,-0.9850936484934245
Australia,0,1,3.0,0,0,0,1,0,1,-0.0924778455456785,-0.9850936484934245
Australia,0,1,1.0,0,0,1,0,1,0,-0.09066306052213421,-0.9850936484934245
Australia,0,1,1.0,1,0,0,0,1,0,-0.09091053435683007,-0.9850936484934245
Australia,0,1,1.0,1,0,0,0,1,0,-0.09082804307859811,-0.715611014562493
Australia,0,1,1.0,0,0,1,0,1,0,-0.0890132349574952,-0.715611014562493
Australia,0,1,3.0,0,0,0,1,0,1,-0.09247782409794572,-0.715611014562493
Australia,0,1,3.0,0,1,0,0,0,1,-0.09247753867811928,-0.715611014562493
Australia,0,1,0.0,1,0,0,0,1,0,-0.09122400121411148,-0.715611014562493
Australia,0,1,0.0,0,0,1,0,1,0,-0.09000313029627861,-0.715611014562493
Australia,0,1,0.0,0,0,1,0,1,0,-0.08884825240103131,-0.44612838063156146
Australia,0,1,0.0,1,0,0,0,1,0,-0.09176844365044234,-0.44612838063156146
