region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock share,Cars,EV,2011.0,percent,0.000390000001062
Australia,Historical,EV sales share,Cars,,2011.0,percent,0.00650000013411
Australia,Historical,EV sales,Cars,BEV,2011.0,Vehicles,49.0
Australia,Historical,EV stock,Cars,BEV,2011.0,Vehicles,49.0
Australia,Historical,EV stock,Cars,BEV,2012.0,Vehicles,220.0
Australia,Historical,EV sales,Cars,BEV,2012.0,Vehicles,170.0
Australia,Historical,EV sales share,Cars,EV,2012.0,percent,
Australia,Historical,EV stock share,Cars,EV,2012.0,percent,0.002400000113994
Australia,Historical,EV stock,Cars,,2012.0,Vehicles,80.0
Australia,Historical,EV sales,Cars,PHEV,2012.0,Vehicles,80.0
Australia,Historical,EV sales,Cars,PHEV,2013.0,Vehicles,
Australia,Historical,EV stock,Cars,PHEV,2013.0,Vehicles,180.0
Australia,Historical,EV stock share,Cars,EV,2013.0,percent,0.004600000102073
Australia,Historical,EV sales share,Cars,EV,2013.0,percent,0.034000001847744
Australia,Historical,EV sales,Cars,BEV,2013.0,Vehicles,190.0
Australia,Historical,EV stock,Cars,BEV,2013.0,Vehicles,410.0
Australia,Historical,EV stock,Cars,BEV,2014.0,Vehicles,780.0
Australia,Historical,EV sales,Cars,BEV,2014.0,Vehicles,370.0
Australia,Historical,EV sales share,Cars,EV,2014.0,percent,0.159999996423721
Australia,Historical,EV stock share,Cars,EV,2014.0,percent,0.014000000432134
Australia,Historical,EV stock,Cars,PHEV,2014.0,Vehicles,1100.0
Australia,Historical,EV sales,Cars,PHEV,2014.0,Vehicles,950.0
Australia,Historical,EV sales,Cars,PHEV,2015.0,,1000.0
Australia,Historical,EV stock,Cars,PHEV,2015.0,Vehicles,2100.0
Australia,Historical,EV stock share,Cars,EV,2015.0,percent,0.027000000700355
Australia,Historical,EV sales share,Cars,EV,2015.0,percent,0.200000002980232
Australia,Historical,EV sales,Cars,BEV,2015.0,Vehicles,760.0
Australia,Historical,EV stock,Cars,BEV,2015.0,Vehicles,1500.0
Australia,Historical,EV stock,Cars,BEV,2016.0,Vehicles,2200.0
Australia,Historical,EV sales,Cars,BEV,2016.0,Vehicles,
Australia,Historical,EV sales share,Cars,EV,2016.0,percent,0.150000005960464
Australia,Historical,EV stock share,Cars,EV,2016.0,percent,0.037000000476837
Australia,Historical,EV stock,Cars,PHEV,2016.0,Vehicles,
Australia,Historical,EV sales,Cars,,2016.0,Vehicles,700.0
Australia,Historical,EV sales,Cars,PHEV,2017.0,Vehicles,1100.0
Australia,Historical,EV stock,Cars,PHEV,2017.0,Vehicles,3900.0
Australia,Historical,EV stock share,Cars,EV,2017.0,percent,0.052000001072884
Australia,Historical,EV sales share,Cars,EV,2017.0,percent,
Australia,Historical,EV sales,Cars,BEV,2017.0,Vehicles,1200.0
Australia,Historical,EV stock,Cars,BEV,2017.0,Vehicles,3400.0
Australia,Historical,EV stock,Cars,BEV,2018.0,Vehicles,5200.0
Australia,Historical,EV sales,Cars,BEV,,Vehicles,1800.0
Australia,Historical,EV sales share,Cars,EV,2018.0,percent,
Australia,Historical,EV stock share,Cars,EV,2018.0,percent,0.076999999582768
Australia,Historical,EV stock,Cars,PHEV,2018.0,Vehicles,5700.0
Australia,Historical,EV sales,Cars,PHEV,2018.0,Vehicles,1800.0
Australia,Historical,EV sales,Cars,PHEV,2019.0,Vehicles,2900.0
Australia,Historical,EV stock,Cars,PHEV,2019.0,Vehicles,8600.0
Australia,Historical,EV stock share,Cars,EV,2019.0,percent,0.140000000596046
Australia,Historical,EV sales share,Cars,EV,2019.0,percent,1.20000004768372
Australia,Historical,EV sales,Cars,BEV,2019.0,Vehicles,6300.0
Australia,Historical,EV stock,Cars,BEV,2019.0,Vehicles,12000.0
Australia,Historical,EV stock,Cars,BEV,2020.0,Vehicles,17000.0
Australia,Historical,EV sales,Cars,BEV,2020.0,Vehicles,5200.0
Australia,Historical,EV sales share,Cars,,2020.0,percent,1.10000002384186
Australia,Historical,EV stock share,Cars,EV,2020.0,percent,0.180000007152557
Australia,Historical,EV stock,Cars,PHEV,2020.0,Vehicles,
Australia,Historical,EV sales,Cars,PHEV,2020.0,Vehicles,1700.0
Australia,Historical,EV sales,Cars,PHEV,2021.0,Vehicles,
Australia,Historical,EV stock,Cars,PHEV,2021.0,Vehicles,14000.0
Australia,Historical,EV stock,Cars,FCEV,2021.0,Vehicles,44.0
Australia,Historical,EV stock share,Cars,EV,2021.0,percent,0.319999992847443
Australia,Historical,EV sales share,Cars,EV,2021.0,percent,2.79999995231628
Australia,Historical,EV sales,Cars,BEV,2021.0,Vehicles,17000.0
Australia,Historical,EV stock,Cars,BEV,2021.0,Vehicles,34000.0
Australia,Historical,EV sales,Cars,,2021.0,Vehicles,44.0
Australia,Historical,EV sales,Cars,,2022.0,Vehicles,15.0
Australia,Historical,EV stock,Cars,BEV,2022.0,Vehicles,67000.0
Australia,Historical,EV sales,Cars,BEV,2022.0,Vehicles,
Australia,Historical,EV sales share,Cars,EV,2022.0,percent,5.09999990463257
Australia,Historical,EV stock,Cars,FCEV,2022.0,Vehicles,100.0
Australia,Historical,EV stock,Cars,PHEV,2022.0,Vehicles,21000.0
Australia,Historical,EV sales,Cars,PHEV,2022.0,Vehicles,
Australia,Historical,EV stock share,Cars,EV,2022.0,percent,0.589999973773956
Australia,Historical,EV stock share,Cars,EV,2023.0,percent,1.20000004768372
Australia,Historical,EV sales,Cars,PHEV,2023.0,Vehicles,11000.0
Australia,Historical,EV stock,Cars,PHEV,2023.0,Vehicles,31000.0
Australia,Historical,EV stock,Cars,FCEV,,Vehicles,
Australia,Historical,EV sales share,Cars,EV,2023.0,percent,12.0
Australia,Historical,EV sales,Cars,BEV,2023.0,,
Australia,Historical,EV stock,Cars,BEV,2023.0,Vehicles,150000.0
